"6.1.1.p1 Proportion of families with access to basic drinking water services (same as SDG indicator 1.4.1.5.p1)"

"Geolocation";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025"
"PHILIPPINES";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;90.8;..;92.5;93.9;..;96.3;...;...;...
"..National Capital Region (NCR)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;98.4;99.4;..;99.3;...;...;...
"..Cordillera Administrative Region (CAR)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;88.7;90.5;..;94.0;...;...;...
"..Region I";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;95.0;98.4;..;99.1;...;...;...
"..Region II";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;96.4;95.5;..;99.1;...;...;...
"..Region III";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;97.0;97.4;..;99.3;...;...;...
"..Region IV-A";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;93.7;97.0;..;98.7;...;...;...
"..MIMAROPA Region";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;87.3;94.5;..;92.1;...;...;...
"..Region V";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;87.0;89.1;..;90.1;...;...;...
"..Region VI";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;88.7;91.1;..;94.7;...;...;...
"..Region VII";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;91.2;88.8;..;94.7;...;...;...
"..Region VIII";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;93.0;90.9;..;93.6;...;...;...
"..Region IX";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;84.3;86.0;..;90.2;...;...;...
"..Region X";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;92.2;94.3;..;95.5;...;...;...
"..Region XI";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;93.0;94.0;..;97.3;...;...;...
"..Region XII";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;90.2;92.3;..;95.9;...;...;...
"..Region XIII";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;91.0;91.7;..;94.0;...;...;...
"..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;74.6;73.3;..;87.8;...;...;...
